iucn_sid,am_sid,sciname,cat_code,pop_trend,spatial_source,rgn_id,rgn_name,n_cells,presence,n_spp_rgn
155043,Fis-22872,Decapterus russelli,LC,decreasing,am,39,Maldives,39,NA,5476
155047,Fis-58567,Cocotropus roseus,LC,unknown,am,39,Maldives,38,NA,5476
155052,Fis-54769,Dactyloptena gilberti,LC,unknown,am,39,Maldives,38,NA,5476
155055,Fis-143867,Himantolophus cornifer,LC,unknown,am,39,Maldives,332,NA,5476
155068,Fis-24930,Remora brachyptera,LC,stable,am,39,Maldives,332,NA,5476
155071,Fis-52910,Gorgasia maculata,LC,unknown,am,39,Maldives,38,NA,5476
155075,Fis-7669,Remora albescens,LC,unknown,am,39,Maldives,337,NA,5476
155084,Fis-33858,Champsodon capensis,LC,unknown,am,39,Maldives,332,NA,5476
155090,Fis-130902,Cociella punctata,LC,unknown,am,39,Maldives,39,NA,5476
155091,Fis-26152,Enchelycore schismatorhynchus,LC,unknown,am,39,Maldives,38,NA,5476
155092,Fis-55078,Laeops kitaharae,DD,NA,am,39,Maldives,39,NA,5476
155097,Fis-29305,Caesio caerulaurea,LC,unknown,am,39,Maldives,38,NA,5476
155104,Fis-125812,Cheilopogon pinnatibarbatus,LC,unknown,am,39,Maldives,38,NA,5476
155105,Fis-21594,Platycephalus indicus,DD,NA,am,39,Maldives,38,NA,5476
155106,Fis-50459,Kali macrodon,LC,unknown,am,39,Maldives,326,NA,5476
155107,Fis-27266,Monopenchelys acuta,LC,unknown,am,39,Maldives,38,NA,5476
155112,Fis-49883,Stemonosudis gracilis,LC,unknown,am,39,Maldives,337,NA,5476
155115,Fis-30237,Lethrinus reticulatus,LC,unknown,am,39,Maldives,38,NA,5476
155116,Fis-23766,Sardinella albella,LC,unknown,am,39,Maldives,38,NA,5476
155118,Fis-23588,Lethrinus conchyliatus,LC,unknown,am,39,Maldives,38,NA,5476
155124,Fis-60569,Amblyeleotris triguttata,LC,unknown,am,39,Maldives,36,NA,5476
155129,Fis-35496,Pterois lunulata,LC,unknown,am,39,Maldives,38,NA,5476
155130,Fis-29766,Caranx sexfasciatus,LC,decreasing,am,39,Maldives,38,NA,5476
155134,Fis-23326,Alepes vari,LC,unknown,am,39,Maldives,38,NA,5476
155143,Fis-144996,Paraulopus maculatus,DD,NA,am,39,Maldives,39,NA,5476
155160,Fis-31001,Hygophum proximum,LC,unknown,am,39,Maldives,337,NA,5476
155165,Fis-31914,Corythoichthys amplexus,LC,decreasing,am,39,Maldives,38,NA,5476
155189,Fis-50311,Scopeloberyx opisthopterus,LC,unknown,am,39,Maldives,336,NA,5476
155200,Fis-28581,Parapercis xanthozona,LC,unknown,am,39,Maldives,38,NA,5476
155201,Fis-33259,Ambassis urotaenia,LC,stable,am,39,Maldives,38,NA,5476
155211,Fis-132269,Synaphobranchus oregoni,LC,unknown,am,39,Maldives,59,NA,5476
155224,Fis-25831,Scorpaenodes hirsutus,LC,unknown,am,39,Maldives,38,NA,5476
155229,Fis-31903,Nemateleotris magnifica,LC,unknown,am,39,Maldives,38,NA,5476
155237,Fis-50570,Enneapterygius abeli,LC,unknown,am,39,Maldives,38,NA,5476
155240,Fis-23303,Thryssa mystax,LC,unknown,am,39,Maldives,91,NA,5476
155246,Fis-33179,Synaphobranchus kaupii,LC,stable,am,39,Maldives,80,NA,5476
155260,Fis-27728,Benthosema pterotum,LC,unknown,am,39,Maldives,337,NA,5476
155261,Fis-32731,Brachypleura novaezeelandiae,LC,decreasing,am,39,Maldives,38,NA,5476
155268,Fis-25265,Scatophagus argus,LC,unknown,am,39,Maldives,38,NA,5476
155273,Fis-170294,Ostorhinchus lateralis,LC,unknown,am,39,Maldives,36,NA,5476
155295,Fis-54333,Pseudanthias ignitus,LC,unknown,am,39,Maldives,38,NA,5476
155301,Fis-32916,Rhinomuraena quaesita,LC,unknown,am,39,Maldives,38,NA,5476
