year,rgn_id,fao_rgn,taxon_scientific_name,taxon_common_name,taxon_key,tons,stock_id
1951,39,51,Clupeidae,"Herrings, sardines, menhadens",400043,46.6472366305446,Clupeidae-51
1951,39,51,Elasmobranchii,"Sharks, rays, skates",200004,77.3535852777778,Elasmobranchii-51
1951,39,51,Encrasicholina heteroloba,Shorthead anchovy,600556,72.6165,Encrasicholina_heteroloba-51
1951,39,51,Euthynnus affinis,Kawakawa,600096,1.43486024427947,Euthynnus_affinis-51
1951,39,51,Galeocerdo cuvier,Tiger shark,600886,77.3535852777777,Galeocerdo_cuvier-51
1951,39,51,Hexanchus griseus,Bluntnose sixgill shark,600637,76.7151,Hexanchus_griseus-51
1951,39,51,Isurus oxyrinchus,Shortfin mako,600752,0.638485277777778,Isurus_oxyrinchus-51
1951,39,51,Katsuwonus pelamis,Skipjack tuna,600107,4591.55278169432,Katsuwonus_pelamis-51
1951,39,51,Lactarius lactarius,False trevally,600363,1.13080561037782,Lactarius_lactarius-51
1951,39,51,Lethrinidae,"Emperors, scavengers",400328,68.7535776475864,Lethrinidae-51
1951,39,51,Lethrinus harak,Thumbprint emperor,601851,22.9178592158621,Lethrinus_harak-51
1951,39,51,Lethrinus microdon,Smalltooth emperor,601845,22.9178592158621,Lethrinus_microdon-51
1951,39,51,Lethrinus olivaceus,Longface emperor,601864,22.9178592158621,Lethrinus_olivaceus-51
1951,39,51,Lethrinus rubrioperculatus,Spotcheek emperor,601848,22.9178592158621,Lethrinus_rubrioperculatus-51
1951,39,51,Lethrinus xanthochilus,Yellowlip emperor,601852,22.9178592158621,Lethrinus_xanthochilus-51
1951,39,51,Lutjanidae,Snappers,400323,206.260732942759,Lutjanidae-51
1951,39,51,Lutjanus bohar,Two-spot red snapper,601417,68.7535776475864,Lutjanus_bohar-51
1951,39,51,Lutjanus gibbus,Humpback red snapper,600265,68.7535776475865,Lutjanus_gibbus-51
1951,39,51,Macolor,Snappers,502666,68.7535776475864,Macolor-51
1951,39,51,Macolor niger,Black and white snapper,600187,68.7535776475864,Macolor_niger-51
1951,39,51,Marine fishes not identified,Marine fishes nei,100039,3444.72858660856,Marine_fishes_not_identified-51
1951,39,51,Marine pelagic fishes not identified,Pelagic fishes,100339,5.60948965576099,Marine_pelagic_fishes_not_identified-51
1951,39,51,Pomacentridae,Damselfishes,400350,10.31484375,Pomacentridae-51
1951,39,51,Prionace glauca,Blue shark,600898,0.638485277777778,Prionace_glauca-51
1951,39,51,Rastrelliger kanagurta,Indian mackerel,600111,8.26235374058177,Rastrelliger_kanagurta-51
1951,39,51,Sardinella,Sardinellas,501940,2.09770646302573,Sardinella-51
1951,39,51,Scomberoides lysan,Doublespotted queenfish,601951,103.13036647138,Scomberoides_lysan-51
1951,39,51,Scomberomorus commerson,Narrowbarred Spanish mackerel,600121,14.0109083176443,Scomberomorus_commerson-51
1951,39,51,Scomberomorus guttatus,Indo-Pacific king mackerel,600123,1.43842856722926,Scomberomorus_guttatus-51
1951,39,51,Scomberomorus lineolatus,Streaked seerfish,600125,0.0063069900028977,Scomberomorus_lineolatus-51
1951,39,51,Seriola,Amberjacks,500928,103.130366471379,Seriola-51
1951,39,51,Sphyraenidae,Barracudas,400360,229.178592158621,Sphyraenidae-51
1951,39,51,Sphyrnidae,"Hammer, bonnet, scoophead sharks",400012,0.638485277777778,Sphyrnidae-51
1951,39,51,Spratelloides gracilis,Silverstriped round herring,601458,276.726687471248,Spratelloides_gracilis-51
1951,39,51,Tenualosa ilisha,Hilsa shad,601596,0.015912721279101,Tenualosa_ilisha-51
