rgn_id,stock_id,year,bbmsy
1,Makaira_indica-57,2012,1.13672727272727
1,Makaira_indica-57,2013,1.10254545454546
1,Makaira_indica-57,2014,1.06836363636364
1,Makaira_indica-57,2015,1.03418181818182
1,Makaira_mazara-51,2001,1.29
1,Makaira_mazara-51,2002,1.29
1,Makaira_mazara-51,2003,1.27
1,Makaira_mazara-51,2004,1.24
1,Makaira_mazara-51,2005,1.17
1,Makaira_mazara-51,2006,1.1
1,Makaira_mazara-51,2007,1.05
1,Makaira_mazara-51,2008,1.04
1,Makaira_mazara-51,2009,1.04
1,Makaira_mazara-51,2010,1.03
1,Makaira_mazara-51,2011,1.03
1,Makaira_mazara-51,2012,0.947272727272733
1,Makaira_mazara-51,2013,0.915000000000006
1,Makaira_mazara-51,2014,0.88272727272728
1,Makaira_mazara-51,2015,0.850454545454554
1,Tetrapturus_audax-51,2001,0.528
1,Tetrapturus_audax-51,2002,0.523
1,Tetrapturus_audax-51,2003,0.517
1,Tetrapturus_audax-51,2004,0.511
1,Tetrapturus_audax-51,2005,0.477
1,Tetrapturus_audax-51,2006,0.47
1,Tetrapturus_audax-51,2007,0.453
1,Tetrapturus_audax-51,2008,0.46
1,Tetrapturus_audax-51,2009,0.47
1,Tetrapturus_audax-51,2010,0.496
1,Tetrapturus_audax-51,2011,0.523
1,Tetrapturus_audax-51,2012,0.471636363636364
1,Tetrapturus_audax-51,2013,0.468
1,Tetrapturus_audax-51,2014,0.464363636363637
1,Tetrapturus_audax-51,2015,0.460727272727273
1,Tetrapturus_audax-57,2001,0.528
1,Tetrapturus_audax-57,2002,0.523
1,Tetrapturus_audax-57,2003,0.517
1,Tetrapturus_audax-57,2004,0.511
1,Tetrapturus_audax-57,2005,0.477
1,Tetrapturus_audax-57,2006,0.47
1,Tetrapturus_audax-57,2007,0.453
1,Tetrapturus_audax-57,2008,0.46
1,Tetrapturus_audax-57,2009,0.47
1,Tetrapturus_audax-57,2010,0.496
1,Tetrapturus_audax-57,2011,0.523
1,Tetrapturus_audax-57,2012,0.471636363636364
1,Tetrapturus_audax-57,2013,0.468
1,Tetrapturus_audax-57,2014,0.464363636363637
1,Tetrapturus_audax-57,2015,0.460727272727273
1,Xiphias_gladius-51,2001,1.62
1,Xiphias_gladius-51,2002,1.56
1,Xiphias_gladius-51,2003,1.5
